	"2004"	"2005"	"2006"	"2007"	"2006"	"2009"	"2011"	"2012"
"АР Крим"	9901	12848	16044	20874	27365	27396	32426	38220
"Вінницька"	8123	10207	12414	15381	20094	20104	23589	29099
"Волинська"	4994	6553	7687	10072	12784	12225	14429	17637
"Дніпропетровська"	30040	41227	52347	71173	104687	93331	116136	140020
"Донецька"	45617	58044	72361	92093	117646	103739	128986	161021
"Житомирська"	5947	7430	8784	11127	15008	14731	18743	21928
"Закарпатська"	5297	6700	8185	10508	13208	12542	15299	18054
"Запорізька"	15255	19968	24787	33158	42445	37446	42736	49525
"Івано-Франківська"	7311	9622	11316	13916	17883	17241	20446	26752
"Київська"	11883	15362	19188	26221	35687	37548	44953	59154
"Кіровоградська"	5594	6877	8187	9989	13961	13389	15749	20041
"Луганська"	14672	19716	24159	32280	42985	38451	45541	57202
"Львівська"	13992	17192	21486	27987	35534	35955	41655	52103
"Миколаївська"	7934	9553	11876	14767	19410	20336	24055	27633
"Одеська"	17029	20762	24898	33116	46994	48647	53878	61499
"Полтавська"	13983	18099	22179	28355	34118	33629	44291	52252
"Рівненська"	5599	7263	8924	11180	14074	13469	15882	19302
"Сумська"	6275	8025	9566	12341	16210	16060	18333	22907
"Тернопільська"	3948	5137	6452	8276	10618	11173	12726	16294
"Харківська"	20524	25618	32023	43868	59389	58923	65293	76866
"Херсонська"	5200	6469	7565	9034	13174	13436	15649	18448
"Хмельницька"	6344	7958	9603	12339	16061	15758	18096	22843
"Черкаська"	6623	9014	10957	13656	19101	18707	22354	27012
"Чернівецька"	3277	4234	5126	6672	8833	8484	9892	11969
"Чернігівська"	6181	7627	8950	11532	14918	14636	17008	21165
"м. Київ"	61357	77124	95267	135900	169564	169537	196639	223774
"м. Севастополь"	2213	2823	3822	4916	6305	6452	7785	9359
